userName;score;content;;;
virgil grey;1;"aktifin online gk pernah dapat!'karna yang dapat sudah pasti autobid""!! aktifin autobid selalu dapat harga yang gk masuk akal!!rute jauh tapi sangat murah tarif nya hadeh parahhh!!!!!!!!";;;
Friza Channel;1;Setiap order yg di cancel saldo kepotong dan tidak ada pengembalian dana.. apikasi yg bener2 merugikan driver.. jgn ambil keuntungan dari order yg di batalkan.. sangat2 kecewa...;;;
suwarni menik;5;Suka sama indrive cuman mau kasih saran. Kalau buat pesenndi bikin auto aja,biar gak perlu milih driver lagi dan menghidari adanya order fiktif;;;
Offik Sadega;4;Saya driver ,, tolong untuk orderan yg sudah usang sudah kelewat juga jgn muncul lagi sebagai orderan baru... Heurinn ! Dan byk orderan fiktif tolong ditindak tegas dan ditindak lanjuti Terimakasih;;;
Setbad 2;5;BURUK SEKALI . Indriver hanya memanjakan akun2 yg sudah lama dan prioritas saja . Yg baru2 ga di kasih jatah sama sekali, jarak ratusan meter bahkan puluhan meter tidak masuk lelang . Ampun ampun apalagi banyak akun2 mod ,cracker dll ah jadi males.;;;
RIVAN FIRDAUS;4;Aplikasi nya sangat membantu ketika ingin berpergian, tapi titik tempat tujuan nya suka ke alamat yang berbeda walaupun tidak jauh dari tempat yang ingin di tuju.;;;
Muhammad hafizh aulia harahap;1;Sistem nya bnyk yg error saya sebagai driver sangat dirugikan sekali... Aplikasi bodat..csnya kebanyakan binatang-binatang.. Agak klen benahi dlu aplkasi klen y boi;;;
chandra andhy;4;untuk pengemudi switch mode motor ke mobil atau sebaliknya ga bisa langsung.. jadi ga bisa lincah deh;;;
anjing anjing;3;Tolong dong update terbaru ini bener sangat mengecewakan semenjak penumpang bisa batalin dan kasih rating ke driver makin banyak orderan fiktif dan akun driver itu jadi hancur rating dan ulasan ya jadi turun itu yang membuat semua orderan fiktif tolong di hilangkan aja sistem kasih bintang ke driver jika di cancel dan harga tolong di sesuai kan dengan jarak fiktif selalu membuat 300-350 ribu gak ngotak orderan fiktif ya next di hilang kan sistem kasih bintang jika di cancel;;;
nana nono;4;Tolong diperbaiki autobid nya... Penjemputan kadang dpat jauh sekali 4KM pernah saya dapat.. driver begelut dengan waktu sama baham bakar.. karena harga tetap sama..;;;
Saka Fiansyah;1;Otomatis tidak berfungsi ke penumpang terdekat, Aplikasi sangat buruk... Mohon diperbaiki.;;;
Hardy GIAN;1;Kalian kembalikan system prioritas, masa kami kalah sama yang pemula dengan perjalanan 70 sedangkan kami Uda ribuan malah terduduk.. gimana sih kalian yang membuat aturan system' begini ? Ngk pernah tahu gimana dilapangan kami yang susah payah buat promosi kan platform kalian...;;;
Game Pubg;2;Gak tau terlalu ke siksa driver nya klo auto 9,7km di bikin garis lurus jadi 8,4 map nya aneh di kira kita terbang apa ongkosan 16rb murah banget maxsim bisa 22rb gojek bisa 25rb potongan 2rb murah banget, kecuali harga lelang tapi naekin harga dikit gak kepilih udah males jadi driver indrive gak ada duit nya;;;
ISMAIL MAIL;1;Orderan yang autobid masuk notifikasinya tidak kedengaran juga layar nya tidak muncul jadi sering gak ketauan sehingga dibatalkan penumpang...yang kacau lagi Akun pengemudinya diblokir 24 jam...👎;;;
Aditya Ronald Fernando Durandt;1;Nomor telepon pemesan tidak di tampilkan lagi di aplikasi driver menyebabkan semakin banyak orderan fiktif yang amat sangat merugikan driver. Semoga kedepan nomor telepon penumang bisa ditampilkan lagi di aplikasi mitra driver🙏;;;
WIRA ARA;4;Dari sisi driver untuk order otomatisnya lebih diperhatikan lagi oleh team Tech karena sering off sendiri di versi terbaru 5.91.0 . Apakah ada bugs atau gimana?;;;
Alfon Bazikho;5;Masih banyak yang harus diperbaiki Misalnya cara kerja Autobid saat ini Tolong ditingkatkan sistemnya supaya tidak ada orderan fiktif Terimakasih;;;
hussein abdullah sungkar;5;"Hallo tim indrive, saya mempunyai saran, sebaiknya opsi layanan spesialis antara customer dan vendor/jasa itu terpisah, karena faktanya banyak vendor justru mempromosikan dirinya di opsi pemesanan customer, hal ini membuat saya dan vendor lain kebingungan saat mencari orderan yang valid/real customer, saya bertanya² ""ini yang pesan customer atau promosian si vendor?"", semoga ada perbaikan ya, terimakasih";;;
Ratna Junus;1;Kasihan driver yang lain tidak bisa onbit normal, sedangkan yang lain normal autobit tidak merata aplikasi error;;;
Al Surbakti;5;Terlalu sering dapat orderan fiktif namun pihak indriver menganggap penumpang asli bila di cancel saldo terpotong dan tak kembali,udah beberapa kali kejadian tapi gak ada pengembalian saldo,chat tim dukungan di respon setelah 1 jam menunggu bahkan lebih,makin lama aplikasi hanya mementingkan ke untungan tanpa perduli yg di keluh kesah kan driver/pengemudi.;;;
Trisna Sucipto;1;Kacau kacau kacau udh 5 hari ga dapat orderan sama sekali. Gimana sih ini sitem indri ada orderan terdekat ko ga masuk giliran masuk ditolakin mulu. Padahal rating bintang 5 udh prioritas ko susah. Pembaruannya bukannya semakin enak malah semakin ngawur;;;
Lutxav Sha;1;Knp order palsu tdk terdeksi sistem. Driver rugi disaldo gk bs kerja. Rating hancur. Penumpang rating dibawah 4 di blok aj Tolong juga cs indriver fast respon. Jgn smpe aplikasi di boikot Krn sistemnya gk beres. Jgn asik naik versi tpi GK prhatikan aspek terkait order palsu. Klo seperti ini terus menerus, yg ada indriver kalah saing sm yg lain. TOLONG BERANTAS ORDER PALSU;;;
Kezia Hasianauli;1;Maaf saya adalah pecinta indriver..tp akhir2 ini saya liat indriver sudah tidak komitmen dgn sistemnya..selalu sistem uptodate tp hasilnya ga tau apa ..perubahan yg tidak signifikan buat driver dan costumer..tolong lebih ketat lagi donk SPT apk sebelah.;;;
ISMAIL Nazril;4;"Tolong di Perbaiki dong versinya. Soalnya jarak dekat hanya 100m ga masuk lelangan. trus yg jauh di atas 4 km masuk. jadi bingung jg ini perjalanan. lama"" makin parah ini";;;
Bhaginda Putra Yudha Bangsa;1;sistem apk ga bener, sering update tapi gaada perubahan signifikan. tim IT sama agennya seperti masih pada magang, gaada yg bener kerjanya... aplikasi sampah! maaf harus jujur.;;;
amirudin inoac;1;Aplikasi ojol paling merugikan driver baru Buat driver baru percuma pakai aplikasi ini tidak akan di pilih calon penumpang Karena begitu ada calon penumpang yg akan ditampilkan paling atas driver yg SDH punya reting tinggi secara otomatis Calon penumpang akan pilih urutan teratas sedangkan driver baru terpendam di dasar bumi sekalipun penumpang jaraknya 1 meter dari driver baru. Aplikasi goblog;;;
immanuel windyanto;1;Timer untuk pickup ke tempat penjemputan penumpang tidak sesuai misalnya titik jemput ke A dari tempat driver berada berjarak 1 km dengan timer 30 detik apakah mungkin sampai dengan waktu tersebut, komplain berulang kali jawaban tidak relevan sama sekali,meski memakai aplikasi original Indrive di google play store pun rating sering turun karena sistem tidak diperbaiki, respon dari customer service indrive lama banget seolah tidak diperhatikan, kadang 1 jam lebih baru di respon;;;
Bungaran Gultom;1;Tolong dulu agak diperbaiki sistem nya, bagi yang pelor² tolong dimatikan otomatis akun nya, jangan sampe merugikan kami para driver, terima kasih;;;
Cahyana;1;verifikasi saya selalu ditolak, padahal itu SKCK scan asli, udah email ke CS tetep aja tidak membantu, sangat mengecewakan. kalo mau saya naikin bintangnya tolong terima verifikasi saya. sekali lagi saya bilang itu SKCK asli dan MASIH BERLAKU.;;;
Ted 67;2;Tampilan pada Layar Utama yg terbaru itu bagus banget tapi lebih bagus banget lagi tampilannya seperti dulu aja lebih SIMPLE... Belom lagi ada kata-kata : Order tdk Aktif, Kadaluwarsa, Maps nya suka Error Mohon di perbaiki juga diperhatikan input dari Mitra... terimakasih 🙏;;;
Re za;5;Saran saya kalau penumpang sudah naik orderan nya tidak bisa di cancel lagi sama penumpang, sudah berapa kali dilakukan seperti ini jadi hancur akun.kemudian untuk maps nya juga buat lah yang bagus seperti aplikasi grab gk mesti buka google maps lagi biar gampang.;;;
Muhammad Wahyudi;5;Buk pak, tolong adil. Saya ini mitra indrive Akun pengemudi saya di blokir gegara bikin ulasan palsu Gimana saya tidak bikin ulasan orderan palsu, di karenakan saya di kerjain dengan orderan fiktif. Sudah saya kirim ke email indrive tapi belum ada respon. Kalo perlu bukti saya ada bukti chat dengan pemesan. Terimakasih;;;
Alex Christian;1;Aplikasi paling merugikan dan paling buruk yg ada. Masa iya penumpang sdh membatalkan orderan tapi bisa kasih ulasan, kan orderan fiktif makin banyak dan merugikan driver lain karena sdh di berikan ulasan palsu. Semakin lama sistemnya semakin parah, buruk dan layanan cs sangat buruk;;;
Rayyanza Malik;1;Kayak mana sistem nya sekarang Bisa orderan fiktif dan orderan batal bisa kasih bintang sesuka nya dan ulasan sesuka nya Kalau gini terus di kota Medan Uda resah ma orderan fiktif dan orderan batal bisa kasih bintang sesuka nya Orderan fiktif tau orderan batal kebanyakan driver yang sakit hati Tolong lah pihak indriver agak di perbaiki Karena bagi kami driver hancur akun kami gara2 orderan fiktif dan orderan batal Ingat besar nya indriver berkat ada nya para mitra indriver Tolong di hargai;;;
Ino Richard;2;aplikasi pilih kasih.. stand by sampe batre abis.. kalah mulu.. padahal hanya 100 meter sd 850 meter.. bikin patah hati... terima kasih.. ga kasian sm kita2 driver ya;;;
Ukhy Brandy;1;"perjalan sudah veteran 3000lebih sudas prioritas juga .. tapi kenapa peringkat jadi high asalnya very high .. aplikasi sudah mulai gak jelas CS depan muka pun gak masuk lelang PARAH ini aplikasi ... kenapa dulu harus beli atribut .. ujung"" nya prio ILANG GAK JELAS ,, terus weh update gak ada ngaruh sama sekali yg ada penumpang pada kabur ... tim IT kurang becus kerja";;;
Arifin ilman;4;Tolong dong navigasi drivernya langsung arah motor ajh Jgn ke mobil saya setiap ada order masuk mapsnya mobil dan tidak bisa diedit diapk indriver...;;;
Fredy Adi Pramana;5;Sudah bagus, tapi mohon ada perbaikan di fitur autobid dan notifikasi Karena kadang-kadang off secara otomatis;;;
Wastu Ginanjar;5;Anda semua kerja nya tidak becus, sistem apa seperti kayak sekarang ini. Buat sengsara driver yang sudah prioritas akun nya. Apalagi driver hanya mempunyai 1 akun saja yaitu INDRIVE.😡😡😡;;;
Sighi Hashirama;4;Tolong berikan fitur ubah nada notifikasi, seringkali tiap ada order di terima tidak ketahuan karena suara notifikasi yang pelan alhasil jadi ada pembatalan perjalanan tanpa driver sadari.;;;
Riski muhamad wiyanto;1;Kenapa setiap rating 4,92 atau 4,93 itu selalu gampang banget dikasih orderan, tapi jika rating 5 susah banget dapet orderan. Saya penasaran sempet nyoba nembak dan yang muncul lelangan di atas itu rata² rating 4,92 dan 4,93, yang rating 5 itu dibawah, ini saya agak aneh sih sebenernya sama sistem indrive;;;
radik barong;4;Saya sebagai driver selalu di tolak padahal reting saya bagus tidak ada ulasan buruk,tapi saya selalu gagal untuk mendapat orderan,dan yang saya tau kalau orderan bisa gampang di dapat harus frekuensi tinggi sedangkan saya rendah dan saya selalu di tolak untuk mendapatkan frekuensi tinggi harus mendapatkan orderan,tolong solusinya;;;
Muhamad Zaenal_19;1;Sistem udah mah bobrok, ditambah sering eror, gimana mau rame apk nya klo gaada kemajuan trus, kebanyakan diotak atik gajelas apk nya ANEHHHHHHHH;;;
Prayoga Yogaa;1;Aplikasi tranportasi yang seringkali update tak menentu, menyulitkan driver dan customer dengan seringnya perbaikan,di jam org² sibuk dan lemahnya kinerja IT;;;
Kega Endrianto;1;Oi masuk aplikasi kok loading lama , kami para mitra udah bantu nama in driver semakin terkenal tp performa aplikasi semakin menurun.???? Tolong di perbaiki;;;
yoyo yans742;3;"Suara notifikasi orderan yg masuk nya tolong ditambah atau diganti dengan yang agak nyaring. Karna kalo cuman tring doang kadang gak kedengeran. Sepele tp sangat berguna. Apk sebelah malah udh kaya sirine ambulan masa ini cuman ""tring"" Doang mana paten. Saya kasih bintang 5 kalo saran saya di respon. Terimakasih";;;
Okky Novianto;5;Seharus nya yg nm nya sdh d autobid orderan terdekat masuk,.ni mh orderan terdekat jg hrs d cocol,.pas sdh d cocol malah hilang orderan nya,.kl lah versi terdahulu d autobid jg lngsng masuk orderan nya,.g perlu d cocol lg,.mhn d perbaiki lg,.kl lah bs versi dahulu,.d autobid jg kl lah terdekat dengan driver lngsng nyangkut,.terima kasih;;;
Adi Syah putra Harahap;1;Setelah ku update bukan lebih baik.. 1 akun lama makin payah dapat orderan.. 2 ulasan sama perjalanan terbalik.. 3 bisa ulasan lebih banyak dr pada perjalanan.. 4 aku menyesal update terbaru. 5 lama lama mati kami mitra lama kalian buat.. Beda sebelum critical.. Lebih mudah dapat orderan akun 12k perjalanan.. Udah lah makin hari makin bobrok bukan makin membaik. 🦆🦆🦆🦆;;;
April Giawa;1;Tolong sistem indriver ini diperbaiki kembali,dan tolong cs yg sudah cansel orderan agar tidak bisa kasih ulasan,akhir2 ini banyak sesama driver yg mengerjain sesama driver dgn cara mengorder dan kasih ulasan jelek, akhirnya ranting sidriver yg menerima orderan palsu itu jadi rusak.mohonlah kepada manajemen indriver dan perusahaan agar ini bisa diperbaiki,sebelum sistem ini diperbaiki saya akan ttp kasih ulasan jelek,kalau bisa cs yg menggunakan aplikasi ini supaya menggunakan foto KTP dan iden;;;
Mohammad Ashari;4;Sistemnya diperbaiki dong notif auto bid nya punya saya hilang sendiri. MOD harus di brantas. Jarak 300 meter mala yang kenak yang jauh. Maupun ada versi terbaru ya percuma klo MOD belum di brantas bos;;;
Tsani Rizal Syawali;3;Sistemnya sudah bagus. Simpel dan ga ribet. Hanya sayang belum ada pembayaran digital yg bisa memudahkan transaksi pembayaran. Harap tambahkan dompet digital supaya memudahkan para penumpang.;;;
Mustofa Mustofa;5;Semoga di versi mendatangnya,indrive jauh lebih baik dalam hal menghilangkan para pemakai aplikasi pihak ketiga dan mengaktifkan kembali sistem tawar- menawar nya yg sudah lama tidak berfungsi. Terimkasih;;;
EDY SUSANTO;1;Tolong untuk pelanggan yang ratingnya jelek langsung di blokir permanen saja akun'nya biar gak bikin orderan fiktif lagi....Tolong buat pembayaran tunai menaikkan harga jangan pake edit biar gak di salah gunakan oleh pelanggan untuk orderan fiktif....Makasih atas perhatian'nya....🙏🙏🙏;;;
Donny Mahardika;3;Aplikasi sering error, lagi antar penupang tbtb orderan lain masuk jadi ketindih, terus ga bisa mode auto, harus manual, dapet orderan harus jemput 6 km, tp tujuan nya cma 2km,buang2 bensin aja.;;;
Muhammad Fahmi Azzikri;5;👍 tolong admin kantor driver yg menggunakan mod yg tidak menggunakan apk dri play store tolong di tindak lanjut karena sangat merugikan tuk driver yang mendownload apk indriver dri play store cs pun di rugi kan dgn driver yang menggunakan apk tidak dri play store karna banyak keluhan terhadap cs bahwa jarak di sistem driver tdk terdeteksi dlm perjalanan dan kadang jarak driver yg jauh di apk penumpang terlihat jarak nya dekat tdk sesuai yg apk cs tidak singkron kepda driver yg menggunakan mod.;;;
izal aja;1;Sy top up saldo 50rb di alfamart namun saldo gak masuk² Sudah 13 hari saldo gak masuk² alasannya sy di suruh nunggu 48 jam dan di suruh sabar terus. Kalo ini jawaban dr indriver saya jamin Ampe kiamat gak akan masuk Aplikasi suka eror dan pelayanannya payah dan lambat. IT nya juga gak becus;;;
Jul Wantu;5;serta di update ke versi ini indriver udah nggak waras masa saya antar ke Wanea udah selesai di antar tapi takuti apk saya ambil di jumbo nggak jelas kan ini apk tolong diperbaiki lagi wilayah manado;;;
Zhao Zilong;1;Selama sy ngebid indriver yg sy rasakan makin hari apk ini makin gak jelas. 1. Orderan yg berjarak hanya bbrp puluh meter tdk ditawarkan sedangkan yg lbh dari 1km malah ditawarkan. 2. Sistem penawaran otomatis tdk seperti apk lain. sistem ini masih terkesan setengah². Jika ingin memakai sistem auto, seharusnya penumpang sdh tdk bisa pilih² driver dan kendaraan, order langsung masuk spt apk lain. 3. Rating sangat tinggi, bintang 5 bukan jaminan lancar order.;;;
Jajang Sumpena;5;Aplikasi sudah bagus, jarak penjemputan harus di sesuaikan jangan terlalu jauh,karna waktu dan bensin terkuras lumayan.;;;
Abel Idho;1;Ini aplikasi paling aneh, bisa² nya aplikasi original dari playstore GK bisa login..malah dinotif pakai bot, mod, fake GPS dll..aplikasi tololnya ini..JD GK BS lagi pesan driver...aplikasi aneh;;;
Salah Cetak;5;Sistem kalian kenapa busuk amat sih? Ada orderan fiktif setelah order lalu di cancel sama pemesan namun bisa ngasih bintang 1 ke driver beserta komentar negatif, driver terus yg jadi korban fitnah, ngadu ke pusat bantuan juga ga ada gunanya jawaban template banget kaya bot, pecat aja IT kalian , noh tukang mod angkat jadi IT, mereka lebih jago.;;;
ebiem imam;5;Mungkin untuk map nya bisa ditingkatkan lagi supaya bisa seperti aplikasi sebelah kak biar ga perlu buka google map sejauh ini yg lainnya udah cukup bagus tapi tingkatkan terus . Dan tolong hapuskan edit ongkos untuk cs soalnya sangat merugikan dan ga kira2 jarak 15kilometer cuma 9000;;;
Zidan Harahap;3;Mohon untuk di perbaikin ya admin untuk memberi bintang atau ulasan kepada driver, seharusnya kalau penumpang yang cancel gak bisa dong ngasi bintang atau ulasan, kalau begitu semakin banyak oknum nakal yang sengaja buat orderan palsu dan ngasi ulasan jelek kepada driver,;;;
cipon pintul;1;APLIKASI driver tolol dalam mengukur jarak tempuh perjalanan,,, jarak 4km tertertera 2km,, map yg ngawur,, dan buat editan HARGA yg terkadang gak ngotak anjinggg,, dan pusat bantuan/CUS yg gak pernah bisa buat pengaduan driver+lemot jawab.nya,,, kontolll;;;
Hana Fauziah;1;Driver di indriver ini kalo mau jemput suka pada lama padahal deket, titik di mapsnya ga maju maju, gangerti lagi ngapain drivernya sampai setengah jam saya nunggu. Ini bukan sekali dua kali kejadian seperti ini. Kecewa si, lebih cepet gojek.;;;
Maliki Hakim;4;Indrive bejat parah dapat orderan lama sekalinya dapat map ngarahin ke tujuan bukan penjemputan nyusahin driver belum lagi cs yang medit mengedit-edit argo,mood/aplikasi tambahan parah pokoknya;;;
annisa maspuha;3;Tolong sistem indriver yang terhormat, bunyi orderan dikenceng jangan sunyi gak ada hampa, sering banget ane Kya gini dapat orderan tapi gak bunyi kan alhasil di cancel cuma masalah gak ada suaranya;;;
Lare Alit;5;Aplikasi ini sudah bagus, sayang nya penumpang masih bisa negosiasi harga dibawah dari harga termurah. Sehingga masih ragu untuk mengaktifkan terima-otomatis;;;
Aninda Halifah;3;"Tolong di tingkat kn lg, kadang suka dpt driver yg tertera 3menit dri kita ternyata pas di terima jarak nya jauh bngt, trs driver juga suka tba"" Muter jdi lebih jauh jalan nya krna gamau cancel jdi makan waktu, yg tdi nya mau percepat jdi lamaaa, suka seenak nya si driver nya,";;;
Nazwa Rahmadina;1;Saya daftar driver gagal karna nomor SIM, SIM lama saya hilang sekarang SIM terbaru pakai nomor KTP bukan seperti nomor SIM lama.. jangan ketinggalan berita dong ka !!!;;;
Erwin Pratama;2;Cobalah buat tampilan Menu akan sistem penerimaan secara otomatis ( TANPA ADA sistem proses tawar-atau persetujuan pemgorder),dan perbaiki layanan perimaan OTOMATIS tiba tiba off sendiri di latar belakang. Jangan jawaban Kolom komentar Terima kasih atas kritikan dan saran , ... AKAN TETAPI di buat nyata dan masukkan menjadi kenyataan.;;;
Firlie laisya Mahadewi;1;Tolong perbaiki mapsnya, masa diawal 100meter pas sudah diterima jadi 2km Edit: maaf, sy tidak bisa sabar lagi😭😭 mapsnya itu lhoooooo nyebelinn, pdhl jaringan dah bagus;;;
Rudy Gunawan;4;Sebetulnya Sangat membantu untuk kebutuhan transportasi. Tapi tlg utk dipertegas bagi driver yg menerima tawaran, lalu minta dibatalkan. Saat saya ga mau batalin, driver menjalankan misi. Tapi saya tidak naik. Bahkan sampai bbrp hari tetap spt itu.;;;
Kang Moes;1;Aplikasi isinya update tapi ga da perubahan dari segi sistem gitu2 saja malah semakin buruk setelah update versi terbaru Tolong untuk saldo terpotong itu harus setelah driver menyelesaikan perjlnn bukn asal motong setelah kita Terima perjalanan dari penumpang Notifikasi untuk driver di benerin jngn bunyi klik doang sama jarak jmput di kerucutkan lagi jadi 1km tu saja SDH jauh apa lgi jln macet;;;
Odo Olin;5;Saran saya. Hapus sistem critical order. Pake sistem rate. Utamakan jarak terdekat itu masuk list lelang tiga teratas berdasarkan jarak. Sistem sekarang malah tambah ancur bagi driver.;;;
kusnandar Nandar;5;aplikasinya emang sudah bagus untuk membantu masyarakat,,tapi kenapa yah makin sini kesini setiap ada lelangan kebanyak di tolak terus menerus,,kapann mauu maju driver Indri sekarang akun nya,,tolong donk di perbarui lagi min,,seperti map,titik penjemputan dan titik tujuan yah;;;
Rio Martin;5;Tolong diperbaiki lagi sistemnya. Saya udah 2tahun jadi mitra kalian, sampai sudah akun saya prioritas, tapi orderan saya dikit. Tahun sebelumnya tidak seperti ini sistemnya. Dilelangan pun saya paling bawah... padahal rating saya bagus. Tolong dikembalikan jaman cocol seperti dulu. Dan akun prioritas lebih diutamakan. 🙏;;;
Stephanus Efhan;1;Maaf, bintangnya saya turunkan.. Makin sering update malah makin sepi penumpang (update banyak error nya). Indrive hrs mulai lagi dari nol.. Perbanyak iklan lagi seperti dulu.;;;
Imanuel Dwisatriyar;1;Sering banget waktu nunggu driver, di map driver tdk jalan ke lokasi penjemputan (stuck di tempat), di chat tdk bisa, ditelpon juga tdk bisa. Setelah nunggu lama akhirnya sya cancel. Sudah sering sperti itu. Sampai skrg gatau apa karna app nya yang error atau emang drivernya :'(;;;
Yosep Sulaiman;2;Setelah di update makin susah dapat orderan,, perbaiki lagi sistem nya jangan aplikasi nya minta di update terus sedangkan sistem nya tidak di update. lokasi dekat dengan titik penjemputan tetapi tidak dapat orderan padahal sudah di otomatis kan ketika di klik permintaan sudah diterima sekalinya dapat (fitur otomatis) ke titik penjemputan nya jauh ±26 menit ditambah ke titik pengantaran 30 menit otomatis langsung di cancel sama penumpang karena tidak mau menunggu terlalu lama;;;
Florencia Fanny;5;"Tolong notifikasi autobid untuk driver jika ada orderan masuk dan diterima oleh calon penumpang dibuat lebih variatif, kalo cuma suara ""ceklek"" kadang tidak kedengaran pas lagi di jalan yang sedang ramai. Mungkin bisa ditambahkan suara lain dan layar bisa diaktifkan menyala pas ada orderan masuk. terkadang driver tidak selalu screen selalu on demi menghemat battery dan kesehatan device. Terima kasih.";;;
Jakaria;1;Suwe saldo kepotong gara gara di cancel penumpang, apa karena w udeh ngeklik udeh disini , sistem nye nge jebak , dari penjemputan udeh di timer , pas klik udeh disini , tiba tiba customer cancel , saldo driver kepotong;;;
Rendy Wagey;5;"Orderan Kurir saat mau upload foto gambar masih gagal dan orderan tidak bisa di lanjutkan langsung blank. Dan saat mau ambil orderan manual muncul notifikasi ""TINDAKAN TERAKHIR ANDA TIDAK BERHASIL"" padahal sudah pakai yang terupdate 🤦🏻";;;
Setyo Widodo;1;Driver tidak merespon kalo ada order dekat tp jalanan agak macet....parah para drivernya....apalagi yg di kota Kalo karena tarifnya terlalu murah knapa g komplain ke developer;;;
Marthen marthen;3;Untuk di perbaiki oleh team indriver 1. Tampilan map perjalananya kurang bagus malah kalah bagus dgn google map..sedangkan aplikasi taxi online lebih bagus dan lebih jelas map nya misal wilayah alamat nama jalan dsb dan sediakan heat map 2. Waktu penjemputan terlalu singkat sehingga driver di buat buru-buru dan itu sangat membahayakan driver bukan costumer. Jadi kalau mau berikan waktu yg lebih lama..karena anda tidak berada di jalan yg macet dan banyak hal tdk terduga..;;;
Yudi Freelance Wedding organizer & J.A.B;5;Aplikasi nya lumayan bagus cuma perlu di perbaiki lagi navigasinya agar titik lebih akurat, untuk ongkos bisa nego cuma karena harga sudah terlanjur hancur aja jadi pengguna ga ngotak ajuin harga;;;
SYAIFUL BAHRI;1;"Aplikasi kacau, topup dari tgl 9 sampe sekarang gak masuk"", laporan kantor pusat sampe sekarang gak ada jawabannya, respon lambat, feedback gak ada jawaban sama sekali, parah sih ini";;;
Risky Putra;4;Tolong perbaiki tampilan sistem rating posisi driver di penumpang, aneh sekali saya selalu di bawah dengan driver2 baru, dan prioritas seperti tidak berfungsi dengan baik;;;
PUSUNG SANGGEL;1;Cuma mementingkan pendaftar Baru.. Sedangkan kami hanya minta verifikasi data lamanya minta ampun... Alasannya karena banyak pendaftar baru... Masalah belum terpecahkan,tapi sudah menutup ruang chat👎 Sudah menunggu 2 hari,ujung-ujungnya dapat notif verifikasi di tolak padahal masih akun dan data yang sama.Tolonglah di perbaiki InDrive bukan Aplikasi kemarin sore lagi;;;
angga;1;🤣🤣🤣 indrive bentar lg bangkrut... pelanggan banyak yg pindah lg ke gojek ma grab terkecuali trip yg jauh tetep pake indrive itupun driver banyak yg males bawa ujung-ujungnya nego ongkos ma perjalanan diluar aplikasi jd opang dadakan...;;;
Christian Jerry;4;Kembalikan fitur telepon yg lama. Dimana driver bisa melihat nomor telepon cs yg buat orderan. Fitur tlp yg skrg dipergunakan dgn salah oleh oknum2 yg membuat orderan palsu dan sering membuat pembatalan orderan. Akhirnya berujung pada turunnya rating dri para driver;;;
Dadang Qulbi Basri;2;Saya sebagai driver:Masih sering ada orderan fiktif yang masuk Apa masuk akal orderan 1 juta gitu di loloskan, Akibatnya saldo kepotong banyak sekali, Dan juga pelanggan sering edit harga, contohnya harga minimal 15000 bisa di edit menjadi 10000 Tolong perbaiki lagi kedepannya;;;
Ryan Sidqie;1;harga di aplikasi 340.000 tetapi di penumpang hanya 34.000 jadi dana saya kepotong dengan argo yang 340.000, apalagi abis itu di cancel penumpangnya dan akhirnya uang saya tidak di kembalikan. membuat argo saya minus banyak dan tidak bisa narik;;;
Alex Frendy Silitonga;1;Aplikasi makin hancur, sudah berapa bulan saya tidak bisa membuka aplikasinya. Serta sudah berkali-kali membuat laporan via email tapi tetap tidak ditindaklanjuti. Sangat menyesal mengenal aplikasi ini.;;;
arizt sigiliew;1;indrive tuh tidak pernah profesional,saldo pengemudi sudah 2 hari tidak masuk-masuk , laporan dukungan pun tidak pernah ada jawaban dan paling lama dalam merespon , lewat email apalagi , gimana mau maju kalo kaya gini terus nyiksa driver kacau;;;
Gerrin Hasena S;4;Sangat membantu buat kerja sampingan tpi sayangnya banyak pengguna driver menggunakan cara licik atau tambahan aplikasi supaya ketarik dengan driver lain walaupun sudah prioritasnya tinggi hingga permintaan ditolak terus dan masih banyak bug.;;;
Rudi Sundara;2;Makin parah, 1 hari full on di tempat ramai jarak 200mter malah masuk di ambil lebih jauh. Sekali nya ada yg masuk orderan titik penjemputan nya gk kira kira 30 menit dan untuk titik antar hanya 5 menit. Banyak di perbaharui bukan lebih baik tapi malah makin parah bug nya. Buat deveroper tolong lah bikin perusaan jgn di kacauin gk jelas gini, sangat jauh perbandingan nya dgn aplikasi tetangga yg di bikin lebih simpel dan juga cepat dapat orderan. Terimakasih semoga di tingkatkan lagi;;;
Muhammad Zainal (Donal duck);5;Udah semakin keren tampilannya yg harus di benahi yakni map bawaannya kita minta agar bisa melacak keberadaan penumpang agar tidak salah alamat, serta menggunakan tingkat pelacakan akurasi tinggi. Kalau gak diberi pelacakan nanti jika sewa membatalkan pas kebetulan jumpa malah pake manual yg di salah kan nanti malah driver;;;
Jefri A;5;Mantap, Indriver... Mohon beri Banyak order... Perlu revisi pada Sistem MAP/Navigasi. Titik Jemput A cukup jauh,. Belum ditambah Titik Antar.. Mohon diperbaiki mengenai sistem Navigator,Salam Hangat dari saya, Biar kita terus saling menguntungkan.... 😁😁😀;;;
djoko tranggono;3;gemana ini indrive, masa habis diupdate rating malah turun, kok ga jelas gini, jarak di aplikasi ga sesuai dengan lapangan...hadeuhhh, ujung2nya driver yg kena masalah, sorry sy turunin bintangnya, kalo bisa diperbaiki sistemnya saya naikin lagi bintangnya;;;
